year,quarter,geography_level,geography_value,age,sex,union_conservative,union_conservative_se,union_expanded,union_expanded_se,unweighted_n,union_conservative_unweighted_n,union_expanded_unweighted_n,union_expanded_ambiguous_unweighted_n,union_conservative_cv,union_expanded_cv,union_conservative_ci_lower,union_conservative_ci_upper,union_expanded_ci_lower,union_expanded_ci_upper,period,period_index,trend_2018q4,calendar_quarter,treated_age,partial_2019q1,post_full,pandemic,short_run_clean,full_dynamic,exclude_pandemic,post_pandemic,event_time,union_conservative_variance,union_expanded_variance,population
2013,1,Brazil,Brazil,14,combined,0.00409886366031602,0.000849653808684375,0.0214048952355606,0.00183956722678332,10351,49,258,200,0.207290087960346,0.0859414263204242,0.00243357279596736,0.00576415452466468,0.017799409723925,0.0250103807471961,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24,7.21911594611865e-07,3.38400758185528e-06,3388670.13718605
2013,1,Brazil,Brazil,14,female,0.00770164260365273,0.00164138056987622,0.0282882363722916,0.00283582357467213,5110,45,172,118,0.213120843740236,0.100247450472021,0.00448459580177151,0.010918689405534,0.0227301242994246,0.0338463484451587,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24,2.69413017516718e-06,8.04189534666622e-06,1660848.93543273
2013,1,Brazil,Brazil,14,male,0.000635732425111671,0.000360764994615695,0.0147883600364559,0.00204844839698373,5241,4,86,82,0.567479304759898,0.13851761736487,0,0.00134281882144122,0.010773474954179,0.0188032451187328,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24,1.30151381340062e-07,4.19614083510521e-06,1727821.20175332
2013,1,Brazil,Brazil,15,combined,0.00818064451292034,0.00103980351614415,0.0335328788719224,0.00225656338539832,10701,98,371,248,0.127105329476413,0.0672940547102198,0.00614266707027969,0.010218621955561,0.0291100959077099,0.0379556618361349,2013Q1,1,-23,1,1,0,0,0,1,1,1,0,-24,1.08119135218574e-06,5.09207831232033e-06,3530755.96725801
2013,1,Brazil,Brazil,15,female,0.0157917651030514,0.00203484456919025,0.0503537191496253,0.00373201952921518,5281,95,293,178,0.128854789563521,0.0741160651535102,0.0118035430333016,0.0197799871728012,0.0430390952827634,0.0576683430164872,2013Q1,1,-23,1,1,0,0,0,1,1,1,0,-24,4.14059242076305e-06,1.39279697664435e-05,1777688.0845046
2013,1,Brazil,Brazil,15,male,0.000462632839834007,0.000292944966042515,0.0164758055964355,0.00246247678206359,5420,3,78,70,0.63321264903638,0.149460174657337,0,0.00103679442272965,0.0116494397908248,0.0213021714020462,2013Q1,1,-23,1,1,0,0,0,1,1,1,0,-24,8.58167531296503e-08,6.06379190220225e-06,1753067.88275341
2013,1,Brazil,Brazil,16,combined,0.0188208111771364,0.00156585543770755,0.0520207069455771,0.00297220425058371,10709,222,612,338,0.083198084448653,0.0571350222843602,0.0157517909142334,0.0218898314400394,0.0461952936597361,0.057846120231418,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24,2.4519032517983e-06,8.83399810718787e-06,3492517.35900212
2013,1,Brazil,Brazil,16,female,0.0351113054795896,0.00299948328649379,0.08063570514474,0.00533537459118392,5254,205,462,210,0.0854278485383409,0.0661664033520509,0.0292324262658319,0.0409901846933472,0.0701785631019894,0.0910928471874906,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24,8.99689998595559e-06,2.8466222028251e-05,1753354.58758424
2013,1,Brazil,Brazil,16,male,0.00239738411864739,0.000666943540082848,0.0231722062814826,0.00226301269209814,5455,17,150,128,0.278196361982718,0.0976606484772477,0.00109019880036336,0.00370456943693141,0.0187367829084132,0.0276076296545519,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24,4.44813685658242e-07,5.12122644459727e-06,1739162.77141788
2013,1,Brazil,Brazil,17,combined,0.0410339069152563,0.00248624700775182,0.0819259469357985,0.00341913374274266,10668,435,932,402,0.060590063063857,0.0417344427574585,0.0361609523233923,0.0459068615071204,0.0752245679416972,0.0886273259298997,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24,6.18142418355488e-06,1.16904755507614e-05,3517985.15013345
2013,1,Brazil,Brazil,17,female,0.0725819902410046,0.00465072291732433,0.120555263324292,0.00566659534107154,5156,376,675,230,0.0640754394014528,0.0470041305938544,0.0634667408209738,0.0816972396610353,0.109448940540829,0.131661586107755,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24,2.16292236537257e-05,3.21103027594537e-05,1727040.14084507
2013,1,Brazil,Brazil,17,male,0.0106115287921327,0.00162783473045241,0.0446750097655716,0.0035872539293896,5512,59,257,172,0.153402470307509,0.0802966568605898,0.0074210313476625,0.0138020262366029,0.0376441212605682,0.051705898270575,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24,2.64984590966707e-06,1.28683907539211e-05,1790945.00928838
2013,1,Brazil,Brazil,18,combined,0.0690940348943754,0.00323173581049713,0.123914657168699,0.00430175746329047,10470,721,1334,465,0.0467730074736193,0.0347154853314407,0.0627599490982526,0.0754281206904981,0.115483367470423,0.132345946866975,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24,1.04441163488495e-05,1.85051172729753e-05,3481249.19017576
